region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
1;1;1;475;153;3;15;0;0
1;1;2;131;63;8;0;0;0
1;1;3;896;445;168;1;0;0
1;2;1;145;90;4;2;0;0
1;2;2;37;28;5;0;0;0
1;2;3;334;150;58;0;0;0
1;3;1;56;6;2;6;0;0
1;3;2;18;2;7;0;0;0
1;3;3;154;41;131;0;0;1
1;4;1;105;129;10;2;0;1
1;4;2;56;64;8;1;0;0
1;4;3;453;395;308;2;0;0
1;5;1;213;39;1;31;0;0
1;5;2;26;16;10;4;0;1
1;5;3;228;114;163;5;0;1
1;6;1;20;8;6;3;0;0
1;6;2;10;9;4;1;0;0
1;6;3;217;97;304;12;0;7
1;7;1;146;20;4;34;0;2
1;7;2;26;10;10;18;0;1
1;7;3;224;82;145;47;0;4
1;8;1;9;3;3;6;0;0
1;8;2;8;3;3;2;0;2
1;8;3;135;70;235;60;0;18
1;9;1;45;57;15;17;0;14
1;9;2;18;12;5;13;0;6
1;9;3;138;127;156;91;0;37
1;10;1;68;11;3;22;0;7
1;10;2;14;4;6;10;0;1
1;10;3;61;32;71;75;0;87
1;11;1;12;9;2;7;0;4
1;11;2;2;1;2;5;0;3
1;11;3;58;24;70;43;0;179
1;12;1;46;5;0;12;0;3
1;12;2;2;4;1;4;0;5
1;12;3;44;16;75;57;0;122
1;13;1;22;9;3;6;0;14
1;13;2;2;1;1;1;0;11
1;13;3;25;8;24;16;0;160
1;14;1;30;17;0;8;0;12
1;14;2;2;2;0;4;0;5
1;14;3;5;8;7;9;0;140
2;1;1;709;175;7;9;1;1
2;1;2;185;67;7;0;0;0
2;1;3;1329;541;249;3;0;1
2;2;1;223;54;0;0;0;0
2;2;2;25;25;5;1;0;0
2;2;3;307;166;61;0;0;0
2;3;1;65;3;4;11;1;2
2;3;2;13;5;7;0;0;0
2;3;3;122;35;67;0;0;0
2;4;1;167;164;16;3;0;0
2;4;2;54;84;10;1;0;0
2;4;3;530;543;378;2;0;1
2;5;1;304;36;12;49;1;2
2;5;2;31;12;10;4;0;1
2;5;3;236;163;159;12;0;2
2;6;1;17;12;5;9;0;0
2;6;2;19;8;6;1;0;1
2;6;3;182;161;328;14;0;13
2;7;1;158;27;5;32;0;5
2;7;2;24;6;7;18;0;2
2;7;3;200;147;187;89;0;14
2;8;1;11;9;7;3;0;0
2;8;2;5;5;4;5;0;0
2;8;3;113;110;256;84;0;57
2;9;1;48;104;28;24;0;8
2;9;2;11;26;13;5;0;3
2;9;3;116;121;127;51;0;84
2;10;1;40;17;3;12;0;6
2;10;2;10;3;2;6;0;4
2;10;3;66;59;68;53;0;182
2;11;1;9;14;2;8;0;4
2;11;2;4;4;0;0;0;0
2;11;3;35;26;48;28;0;184
2;12;1;47;13;2;14;0;2
2;12;2;3;2;1;5;0;12
2;12;3;57;36;59;42;0;221
2;13;1;20;19;5;8;0;14
2;13;2;4;0;3;1;0;9
2;13;3;28;11;11;9;0;145
2;14;1;20;17;0;11;0;5
2;14;2;0;0;0;0;0;8
2;14;3;13;10;1;1;1;105
3;1;1;999;143;8;51;1;5
3;1;2;228;50;6;2;0;0
3;1;3;2311;649;252;2;0;2
3;2;1;427;59;4;7;0;3
3;2;2;79;15;1;5;0;0
3;2;3;590;181;59;2;0;1
3;3;1;109;11;8;95;0;18
3;3;2;31;6;14;11;0;4
3;3;3;210;52;101;14;1;3
3;4;1;297;167;15;7;0;2
3;4;2;132;89;9;3;1;0
3;4;3;1505;843;526;13;0;2
3;5;1;871;33;21;186;0;27
3;5;2;53;17;29;37;0;6
3;5;3;557;221;215;47;0;9
3;6;1;33;23;16;40;1;15
3;6;2;29;9;5;19;0;10
3;6;3;571;234;535;67;0;75
3;7;1;526;32;18;119;0;14
3;7;2;52;20;5;38;0;9
3;7;3;547;235;262;68;4;79
3;8;1;30;3;5;29;0;13
3;8;2;20;2;6;23;1;5
3;8;3;620;225;580;178;4;229
3;9;1;117;158;27;58;1;73
3;9;2;53;47;12;12;0;30
3;9;3;431;258;328;96;4;331
3;10;1;105;20;7;82;0;11
3;10;2;22;3;1;16;0;16
3;10;3;300;119;179;67;6;451
3;11;1;19;11;3;23;1;12
3;11;2;5;3;2;10;0;9
3;11;3;234;80;155;26;6;488
3;12;1;144;16;5;37;0;14
3;12;2;6;1;2;12;0;11
3;12;3;194;65;138;52;10;506
3;13;1;32;18;4;28;0;49
3;13;2;8;3;1;5;1;22
3;13;3;138;33;38;19;9;533
3;14;1;82;16;2;54;0;19
3;14;2;4;0;0;6;0;12
3;14;3;92;10;19;6;4;403
4;1;1;1367;153;12;17;0;2
4;1;2;438;79;18;1;0;0
4;1;3;3192;780;383;3;0;1
4;2;1;398;57;4;2;0;0
4;2;2;134;29;4;0;0;0
4;2;3;891;237;142;1;0;0
4;3;1;100;14;14;38;0;0
4;3;2;69;7;12;7;0;0
4;3;3;463;85;207;9;0;2
4;4;1;305;144;26;5;0;1
4;4;2;153;96;18;2;0;0
4;4;3;1169;673;641;3;0;2
4;5;1;402;29;11;85;0;4
4;5;2;60;18;18;14;0;1
4;5;3;575;202;240;39;0;3
4;6;1;42;9;15;21;0;5
4;6;2;28;8;11;14;0;0
4;6;3;519;198;625;61;0;25
4;7;1;237;28;9;80;0;2
4;7;2;48;12;14;32;0;1
4;7;3;435;210;286;131;1;36
4;8;1;17;5;3;12;0;2
4;8;2;10;5;6;12;0;6
4;8;3;321;153;424;172;0;78
4;9;1;133;83;31;46;0;30
4;9;2;42;45;12;25;1;12
4;9;3;323;220;287;158;0;197
4;10;1;85;18;2;43;0;14
4;10;2;14;4;3;11;0;8
4;10;3;192;72;158;151;0;265
4;11;1;12;10;1;10;0;4
4;11;2;10;1;2;5;0;9
4;11;3;140;70;108;63;1;311
4;12;1;65;10;3;32;0;16
4;12;2;16;5;3;12;0;12
4;12;3;155;47;105;133;3;338
4;13;1;32;14;1;25;0;31
4;13;2;8;3;0;4;0;22
4;13;3;100;32;37;47;1;456
4;14;1;49;17;2;40;0;25
4;14;2;6;0;0;4;0;14
4;14;3;61;22;29;18;0;358
5;1;1;861;112;14;9;0;0
5;1;2;278;60;7;0;0;0
5;1;3;2092;468;191;1;0;1
5;2;1;289;43;4;3;0;0
5;2;2;60;18;0;1;0;0
5;2;3;636;143;76;0;0;0
5;3;1;42;8;6;11;0;0
5;3;2;15;2;3;0;0;1
5;3;3;182;37;74;1;0;2
5;4;1;210;127;14;3;0;0
5;4;2;106;74;12;2;0;0
5;4;3;1041;536;315;0;0;5
5;5;1;508;29;18;41;0;2
5;5;2;37;17;18;7;0;2
5;5;3;456;140;163;4;0;3
5;6;1;25;9;9;6;0;2
5;6;2;11;10;14;1;1;1
5;6;3;354;141;321;9;2;28
5;7;1;276;24;17;27;0;4
5;7;2;25;9;17;17;0;3
5;7;3;376;172;256;15;2;15
5;8;1;16;10;12;6;0;2
5;8;2;8;5;9;1;0;6
5;8;3;283;150;390;29;10;92
5;9;1;76;78;12;17;1;19
5;9;2;30;37;13;3;0;12
5;9;3;225;172;173;14;9;149
5;10;1;35;12;2;11;1;7
5;10;2;2;3;4;12;2;8
5;10;3;146;73;212;13;17;227
5;11;1;5;5;0;2;0;5
5;11;2;2;3;1;1;2;7
5;11;3;74;32;91;5;36;244
5;12;1;91;11;1;10;1;16
5;12;2;1;2;1;5;0;5
5;12;3;79;44;92;17;24;197
5;13;1;11;18;2;9;3;29
5;13;2;6;3;0;1;1;14
5;13;3;52;13;37;2;18;284
5;14;1;40;23;3;9;4;10
5;14;2;0;1;1;0;1;14
5;14;3;35;14;19;4;28;222
6;1;1;2537;567;12;127;1;18
