region_id;iso_smaf;gr_age;choice;prob
1;1;1;0;.5444
1;1;1;1;.0756
1;1;1;2;.2975
1;1;1;3;.0825
1;1;2;0;.2745
1;1;2;1;.0779
1;1;2;2;.4739
1;1;2;3;.1737
1;1;3;0;.0537
1;1;3;1;.0704
1;1;3;2;.631
1;1;3;3;.2449
1;2;1;0;.6888
1;2;1;1;.067
1;2;1;2;.1808
1;2;1;3;.0634
1;2;2;0;.4145
1;2;2;1;.0826
1;2;2;2;.3437
1;2;2;3;.1592
1;2;3;0;.0968
1;2;3;1;.089
1;2;3;2;.5463
1;2;3;3;.2679
1;3;1;0;.2962
1;3;1;1;.159
1;3;1;2;.3972
1;3;1;3;.1476
1;3;2;0;.1188
1;3;2;1;.1306
1;3;2;2;.5035
1;3;2;3;.2471
1;3;3;0;.02
1;3;3;1;.1017
1;3;3;2;.5779
1;3;3;3;.3004
1;4;1;0;.3655
1;4;1;1;.1081
1;4;1;2;.3279
1;4;1;3;.1985
1;4;2;0;.1491
1;4;2;1;.0902
1;4;2;2;.4227
1;4;2;3;.338
1;4;3;0;.0254
1;4;3;1;.0708
1;4;3;2;.4894
1;4;3;3;.4144
1;5;1;0;.2533
1;5;1;1;.1594
1;5;1;2;.4143
1;5;1;3;.173
1;5;2;0;.0971
1;5;2;1;.1249
1;5;2;2;.5014
1;5;2;3;.2766
1;5;3;0;.016
1;5;3;1;.0948
1;5;3;2;.5613
1;5;3;3;.3279
1;6;1;0;.0091
1;6;1;1;.193
1;6;1;2;.5207
1;6;1;3;.2772
1;6;2;0;.0028
1;6;2;1;.1232
1;6;2;2;.5132
1;6;2;3;.3608
1;6;3;0;.0004
1;6;3;1;.0854
1;6;3;2;.524
1;6;3;3;.3902
1;7;1;0;.2562
1;7;1;1;.158
1;7;1;2;.4017
1;7;1;3;.1841
1;7;2;0;.0979
1;7;2;1;.1235
1;7;2;2;.485
1;7;2;3;.2936
1;7;3;0;.0161
1;7;3;1;.0937
1;7;3;2;.5425
1;7;3;3;.3477
1;8;1;0;.0684
1;8;1;1;.1173
1;8;1;2;.5561
1;8;1;3;.2582
1;8;2;0;.0218
1;8;2;1;.0763
1;8;2;2;.559
1;8;2;3;.3429
1;8;3;0;.0033
1;8;3;1;.0529
1;8;3;2;.5721
1;8;3;3;.3717
1;9;1;0;.1135
1;9;1;1;.1073
1;9;1;2;.4797
1;9;1;3;.2995
1;9;2;0;.0366
1;9;2;1;.0709
1;9;2;2;.4891
1;9;2;3;.4034
1;9;3;0;.0055
1;9;3;1;.0496
1;9;3;2;.5043
1;9;3;3;.4406
1;10;1;0;.239
1;10;1;1;.0779
1;10;1;2;.5063
1;10;1;3;.1768
1;10;2;0;.0874
1;10;2;1;.0582
1;10;2;2;.5847
1;10;2;3;.2697
1;10;3;0;.0139
1;10;3;1;.0429
1;10;3;2;.6336
1;10;3;3;.3096
1;11;1;0;0
1;11;1;1;.1312
1;11;1;2;.5972
1;11;1;3;.2716
1;11;2;0;0
1;11;2;1;.0817
1;11;2;2;.5737
1;11;2;3;.3446
1;11;3;0;0
1;11;3;1;.0557
1;11;3;2;.5771
1;11;3;3;.3672
1;12;1;0;.1601
1;12;1;1;.058
1;12;1;2;.5823
1;12;1;3;.1996
1;12;2;0;.0542
1;12;2;1;.0403
1;12;2;2;.6233
1;12;2;3;.2822
1;12;3;0;.0083
1;12;3;1;.0285
1;12;3;2;.651
1;12;3;3;.3122
1;13;1;0;0
1;13;1;1;.1613
1;13;1;2;.5325
1;13;1;3;.3062
1;13;2;0;0
1;13;2;1;.1003
1;13;2;2;.5113
1;13;2;3;.3884
1;13;3;0;0
1;13;3;1;.0687
1;13;3;2;.5161
1;13;3;3;.4152
1;14;1;0;.0952
1;14;1;1;.0485
1;14;1;2;.6585
1;14;1;3;.1978
1;14;2;0;.0307
1;14;2;1;.032
1;14;2;2;.6711
1;14;2;3;.2662
1;14;3;0;.0046
1;14;3;1;.0222
1;14;3;2;.6853
1;14;3;3;.2879
2;1;1;0;.5028
2;1;1;1;.0709
2;1;1;2;.3522
2;1;1;3;.0741
2;1;2;0;.2717
2;1;2;1;.0586
2;1;2;2;.5474
2;1;2;3;.1223
2;1;3;0;.0824
2;1;3;1;.0243
2;1;3;2;.7478
2;1;3;3;.1455
2;2;1;0;.5593
2;2;1;1;.0507
2;2;1;2;.3197
2;2;1;3;.0703
2;2;2;0;.3158
2;2;2;1;.0439
2;2;2;2;.5192
2;2;2;3;.1211
2;2;3;0;.099
2;2;3;1;.0188
2;2;3;2;.7332
2;2;3;3;.149
2;3;1;0;.2124
2;3;1;1;.1203
2;3;1;2;.529
2;3;1;3;.1383
2;3;2;0;.0907
2;3;2;1;.0788
2;3;2;2;.6501
2;3;2;3;.1804
2;3;3;0;.0237
2;3;3;1;.028
2;3;3;2;.7637
2;3;3;3;.1846
2;4;1;0;.328
2;4;1;1;.0787
2;4;1;2;.4237
2;4;1;3;.1696
2;4;2;0;.1501
2;4;2;1;.0552
2;4;2;2;.5577
2;4;2;3;.237
2;4;3;0;.0409
2;4;3;1;.0205
2;4;3;2;.685
2;4;3;3;.2536
2;5;1;0;.2763
2;5;1;1;.1569
2;5;1;2;.4102
2;5;1;3;.1566
2;5;2;0;.127
2;5;2;1;.1106
2;5;2;2;.5425
2;5;2;3;.2199
2;5;3;0;.0354
2;5;3;1;.0422
2;5;3;2;.6817
2;5;3;3;.2407
2;6;1;0;.1115
2;6;1;1;.0993
2;6;1;2;.5009
2;6;1;3;.2883
2;6;2;0;.0431
2;6;2;1;.059
2;6;2;2;.5574
2;6;2;3;.3405
2;6;3;0;.0109
2;6;3;1;.0202
2;6;3;2;.6324
2;6;3;3;.3365
2;7;1;0;.2452
2;7;1;1;.1818
2;7;1;2;.38
2;7;1;3;.193
2;7;2;0;.1111
2;7;2;1;.1264
2;7;2;2;.4954
2;7;2;3;.2671
2;7;3;0;.0312
2;7;3;1;.0485
2;7;3;2;.6262
2;7;3;3;.2941
2;8;1;0;.0984
2;8;1;1;.1696
2;8;1;2;.4198
2;8;1;3;.3122
2;8;2;0;.0391
2;8;2;1;.1032
2;8;2;2;.4793
2;8;2;3;.3784
2;8;3;0;.0102
2;8;3;1;.0369
2;8;3;2;.5646
2;8;3;3;.3883
2;9;1;0;.0579
2;9;1;1;.1536
2;9;1;2;.3751
2;9;1;3;.4134
2;9;2;0;.022
2;9;2;1;.0893
2;9;2;2;.4096
2;9;2;3;.4791
2;9;3;0;.0057
2;9;3;1;.0315
2;9;3;2;.4769
2;9;3;3;.4859
2;10;1;0;.1073
2;10;1;1;.2277
2;10;1;2;.3471
2;10;1;3;.3179
2;10;2;0;.0443
2;10;2;1;.1439
2;10;2;2;.4117
2;10;2;3;.4001
2;10;3;0;.0121
2;10;3;1;.0536
2;10;3;2;.5059
2;10;3;3;.4284
2;11;1;0;.015
2;11;1;1;.1427
2;11;1;2;.4183
2;11;1;3;.424
2;11;2;0;.0055
2;11;2;1;.0801
2;11;2;2;.4405
2;11;2;3;.4739
2;11;3;0;.0014
2;11;3;1;.0276
2;11;3;2;.5012
2;11;3;3;.4698
2;12;1;0;.1478
2;12;1;1;.2225
2;12;1;2;.3416
2;12;1;3;.2881
2;12;2;0;.0629
2;12;2;1;.1451
2;12;2;2;.4179
2;12;2;3;.3741
2;12;3;0;.0174
2;12;3;1;.0549
2;12;3;2;.5212
2;12;3;3;.4065
2;13;1;0;.0154
2;13;1;1;.0912
2;13;1;2;.483
2;13;1;3;.4104
2;13;2;0;.0055
2;13;2;1;.05
2;13;2;2;.4966
2;13;2;3;.4479
2;13;3;0;.0014
2;13;3;1;.0167
2;13;3;2;.5499
2;13;3;3;.432
2;14;1;0;.0657
2;14;1;1;.2075
2;14;1;2;.399
2;14;1;3;.3278
2;14;2;0;.026
2;14;2;1;.1255
2;14;2;2;.4533
2;14;2;3;.3952
2;14;3;0;.0068
2;14;3;1;.0453
2;14;3;2;.5387
2;14;3;3;.4092
3;1;1;0;.4193
3;1;1;1;.0394
3;1;1;2;.4452
3;1;1;3;.0961
3;1;2;0;.2174
3;1;2;1;.0543
3;1;2;2;.5551
3;1;2;3;.1732
3;1;3;0;.0215
3;1;3;1;.0529
3;1;3;2;.717
3;1;3;3;.2086
3;2;1;0;.4422
3;2;1;1;.0532
3;2;1;2;.411
3;2;1;3;.0936
3;2;2;0;.233
3;2;2;1;.0746
3;2;2;2;.5209
3;2;2;3;.1715
3;2;3;0;.0237
3;2;3;1;.0745
3;2;3;2;.6901
3;2;3;3;.2117
3;3;1;0;.1093
3;3;1;1;.0904
3;3;1;2;.5895
3;3;1;3;.2108
3;3;2;0;.0437
3;3;2;1;.0962
3;3;2;2;.5671
3;3;2;3;.293
3;3;3;0;.0037
3;3;3;1;.0792
3;3;3;2;.619
3;3;3;3;.2981
3;4;1;0;.1766
3;4;1;1;.134
3;4;1;2;.4094
3;4;1;3;.28
3;4;2;0;.0709
3;4;2;1;.1431
3;4;2;2;.3953
3;4;2;3;.3907
3;4;3;0;.0062
3;4;3;1;.1237
3;4;3;2;.4529
3;4;3;3;.4172
3;5;1;0;.1409
3;5;1;1;.133
3;5;1;2;.4637
3;5;1;3;.2624
3;5;2;0;.0559
3;5;2;1;.1404
3;5;2;2;.4421
3;5;2;3;.3616
3;5;3;0;.0048
3;5;3;1;.119
3;5;3;2;.4972
3;5;3;3;.379
3;6;1;0;.07
3;6;1;1;.1386
3;6;1;2;.4647
3;6;1;3;.3267
3;6;2;0;.026
3;6;2;1;.137
3;6;2;2;.4152
3;6;2;3;.4218
3;6;3;0;.0022
3;6;3;1;.1131
3;6;3;2;.4544
3;6;3;3;.4303
3;7;1;0;.0804
3;7;1;1;.1974
3;7;1;2;.3983
3;7;1;3;.3239
3;7;2;0;.0299
3;7;2;1;.1953
3;7;2;2;.3562
3;7;2;3;.4186
3;7;3;0;.0026
3;7;3;1;.1643
3;7;3;2;.3976
3;7;3;3;.4355
3;8;1;0;.0623
3;8;1;1;.1765
3;8;1;2;.4022
3;8;1;3;.359
3;8;2;0;.0227
3;8;2;1;.1709
3;8;2;2;.3522
3;8;2;3;.4542
3;8;3;0;.0019
3;8;3;1;.1423
3;8;3;2;.3886
3;8;3;3;.4672
3;9;1;0;.0264
3;9;1;1;.1462
3;9;1;2;.3828
3;9;1;3;.4446
3;9;2;0;.0092
3;9;2;1;.135
3;9;2;2;.3195
3;9;2;3;.5363
3;9;3;0;.0008
3;9;3;1;.1104
3;9;3;2;.3466
3;9;3;3;.5422
3;10;1;0;.1995
3;10;1;1;.1736
3;10;1;2;.3472
3;10;1;3;.2797
3;10;2;0;.0808
3;10;2;1;.1871
3;10;2;2;.3382
3;10;2;3;.3939
3;10;3;0;.0073
3;10;3;1;.1655
3;10;3;2;.3967
3;10;3;3;.4305
3;11;1;0;.0286
3;11;1;1;.198
3;11;1;2;.4107
3;11;1;3;.3627
3;11;2;0;.0102
3;11;2;1;.188
3;11;2;2;.3522
3;11;2;3;.4496
3;11;3;0;.0009
3;11;3;1;.1551
3;11;3;2;.3854
3;11;3;3;.4586
3;12;1;0;.0769
3;12;1;1;.1891
3;12;1;2;.3947
3;12;1;3;.3393
3;12;2;0;.0284
3;12;2;1;.1857
3;12;2;2;.3505
3;12;2;3;.4354
3;12;3;0;.0024
3;12;3;1;.156
3;12;3;2;.39
3;12;3;3;.4516
3;13;1;0;.0596
3;13;1;1;.1469
3;13;1;2;.4741
3;13;1;3;.3194
3;13;2;0;.0221
3;13;2;1;.1448
3;13;2;2;.4221
3;13;2;3;.411
3;13;3;0;.0018
3;13;3;1;.1192
3;13;3;2;.4608
3;13;3;3;.4182
3;14;1;0;.0074
3;14;1;1;.2502
3;14;1;2;.4765
3;14;1;3;.2659
3;14;2;0;.0027
3;14;2;1;.2426
3;14;2;2;.4178
3;14;2;3;.3369
3;14;3;0;.0002
3;14;3;1;.2
3;14;3;2;.4566
3;14;3;3;.3432
4;1;1;0;.1414
4;1;1;1;.0758
4;1;1;2;.639
4;1;1;3;.1438
4;1;2;0;.0913
4;1;2;1;.0621
4;1;2;2;.636
4;1;2;3;.2106
4;1;3;0;.0101
4;1;3;1;.0638
4;1;3;2;.6861
4;1;3;3;.24
4;2;1;0;.1773
4;2;1;1;.0741
4;2;1;2;.611
4;2;1;3;.1376
4;2;2;0;.1162
4;2;2;1;.0618
4;2;2;2;.6175
4;2;2;3;.2045
4;2;3;0;.0132
4;2;3;1;.065
4;2;3;2;.6828
4;2;3;3;.239
4;3;1;0;.0723
4;3;1;1;.111
4;3;1;2;.6109
4;3;1;3;.2058
4;3;2;0;.0446
4;3;2;1;.0869
4;3;2;2;.5807
4;3;2;3;.2878
4;3;3;0;.0047
4;3;3;1;.0852
4;3;3;2;.5973
4;3;3;3;.3128
4;4;1;0;.0662
4;4;1;1;.1041
4;4;1;2;.5407
4;4;1;3;.289
4;4;2;0;.0392
4;4;2;1;.0783
4;4;2;2;.494
4;4;2;3;.3885
4;4;3;0;.0041
4;4;3;1;.0759
4;4;3;2;.5025
4;4;3;3;.4175
4;5;1;0;.071
4;5;1;1;.1433
4;5;1;2;.5095
4;5;1;3;.2762
4;5;2;0;.0427
4;5;2;1;.1092
4;5;2;2;.4718
4;5;2;3;.3763
4;5;3;0;.0045
4;5;3;1;.1065
4;5;3;2;.4824
4;5;3;3;.4066
4;6;1;0;.0116
4;6;1;1;.1307
4;6;1;2;.5335
4;6;1;3;.3242
4;6;2;0;.0067
4;6;2;1;.0955
4;6;2;2;.474
4;6;2;3;.4238
4;6;3;0;.0007
4;6;3;1;.0899
4;6;3;2;.4676
4;6;3;3;.4418
4;7;1;0;.0615
4;7;1;1;.1774
4;7;1;2;.4524
4;7;1;3;.3087
4;7;2;0;.0365
4;7;2;1;.1337
4;7;2;2;.4141
4;7;2;3;.4157
4;7;3;0;.0038
4;7;3;1;.1294
4;7;3;2;.4206
4;7;3;3;.4462
4;8;1;0;.0207
4;8;1;1;.1563
4;8;1;2;.4881
4;8;1;3;.3349
4;8;2;0;.012
4;8;2;1;.1146
4;8;2;2;.4346
4;8;2;3;.4388
4;8;3;0;.0012
4;8;3;1;.1084
4;8;3;2;.4308
4;8;3;3;.4596
4;9;1;0;.0125
4;9;1;1;.098
4;9;1;2;.5227
4;9;1;3;.3668
4;9;2;0;.0071
4;9;2;1;.07
4;9;2;2;.4541
4;9;2;3;.4688
4;9;3;0;.0007
4;9;3;1;.0656
4;9;3;2;.4465
4;9;3;3;.4872
4;10;1;0;.012
4;10;1;1;.1638
4;10;1;2;.495
4;10;1;3;.3292
4;10;2;0;.0069
4;10;2;1;.1203
4;10;2;2;.4411
4;10;2;3;.4317
4;10;3;0;.0007
4;10;3;1;.1131
4;10;3;2;.4356
4;10;3;3;.4506
4;11;1;0;.061
4;11;1;1;.1034
4;11;1;2;.5173
4;11;1;3;.3183
4;11;2;0;.0356
4;11;2;1;.0768
4;11;2;2;.4659
4;11;2;3;.4217
4;11;3;0;.0037
4;11;3;1;.074
4;11;3;2;.4714
4;11;3;3;.4509
4;12;1;0;.0375
4;12;1;1;.1528
4;12;1;2;.4807
4;12;1;3;.329
4;12;2;0;.0218
4;12;2;1;.1128
4;12;2;2;.4312
4;12;2;3;.4342
4;12;3;0;.0022
4;12;3;1;.1076
4;12;3;2;.4313
4;12;3;3;.4589
4;13;1;0;.0875
4;13;1;1;.1238
4;13;1;2;.4842
4;13;1;3;.3045
4;13;2;0;.052
4;13;2;1;.0935
4;13;2;2;.4438
4;13;2;3;.4107
4;13;3;0;.0055
4;13;3;1;.0916
4;13;3;2;.4565
4;13;3;3;.4464
4;14;1;0;.0403
4;14;1;1;.1756
4;14;1;2;.5094
4;14;1;3;.2747
4;14;2;0;.0241
4;14;2;1;.1333
4;14;2;2;.4699
4;14;2;3;.3727
4;14;3;0;.0025
4;14;3;1;.1279
4;14;3;2;.4731
4;14;3;3;.3965
5;1;1;0;.3671
5;1;1;1;.1587
5;1;1;2;.3926
5;1;1;3;.0816
5;1;2;0;.2198
5;1;2;1;.1056
5;1;2;2;.5562
5;1;2;3;.1184
5;1;3;0;.0321
5;1;3;1;.0444
5;1;3;2;.787
5;1;3;3;.1365
5;2;1;0;.2961
5;2;1;1;.1871
5;2;1;2;.4358
5;2;1;3;.081
5;2;2;0;.171
5;2;2;1;.1201
5;2;2;2;.5956
5;2;2;3;.1133
5;2;3;0;.0238
5;2;3;1;.0481
5;2;3;2;.8035
5;2;3;3;.1246
5;3;1;0;.2746
5;3;1;1;.2293
5;3;1;2;.3783
5;3;1;3;.1178
5;3;2;0;.1605
5;3;2;1;.1491
5;3;2;2;.5235
5;3;2;3;.1669
5;3;3;0;.023
5;3;3;1;.0615
5;3;3;2;.7267
5;3;3;3;.1888
5;4;1;0;.192
5;4;1;1;.1596
5;4;1;2;.3987
5;4;1;3;.2497
5;4;2;0;.1001
5;4;2;1;.0926
5;4;2;2;.4919
5;4;2;3;.3154
5;4;3;0;.0131
5;4;3;1;.035
5;4;3;2;.6253
5;4;3;3;.3266
5;5;1;0;.2052
5;5;1;1;.2892
5;5;1;2;.3376
5;5;1;3;.168
5;5;2;0;.1184
5;5;2;1;.1857
5;5;2;2;.461
5;5;2;3;.2349
5;5;3;0;.017
5;5;3;1;.0766
5;5;3;2;.6405
5;5;3;3;.2659
5;6;1;0;.0901
5;6;1;1;.1765
5;6;1;2;.4263
5;6;1;3;.3071
5;6;2;0;.0442
5;6;2;1;.0963
5;6;2;2;.4947
5;6;2;3;.3648
5;6;3;0;.0055
5;6;3;1;.0346
5;6;3;2;.5996
5;6;3;3;.3603
5;7;1;0;.1653
5;7;1;1;.2696
5;7;1;2;.3343
5;7;1;3;.2308
5;7;2;0;.091
5;7;2;1;.1652
5;7;2;2;.4358
5;7;2;3;.308
5;7;3;0;.0126
5;7;3;1;.0659
5;7;3;2;.5848
5;7;3;3;.3367
5;8;1;0;.0836
5;8;1;1;.2118
5;8;1;2;.3966
5;8;1;3;.308
5;8;2;0;.0417
5;8;2;1;.1176
5;8;2;2;.4683
5;8;2;3;.3724
5;8;3;0;.0053
5;8;3;1;.043
5;8;3;2;.5775
5;8;3;3;.3742
5;9;1;0;.0616
5;9;1;1;.1338
5;9;1;2;.3401
5;9;1;3;.4645
5;9;2;0;.0288
5;9;2;1;.0695
5;9;2;2;.376
5;9;2;3;.5257
5;9;3;0;.0036
5;9;3;1;.0249
5;9;3;2;.4541
5;9;3;3;.5174
5;10;1;0;.0976
5;10;1;1;.1845
5;10;1;2;.3861
5;10;1;3;.3318
5;10;2;0;.0483
5;10;2;1;.1016
5;10;2;2;.4522
5;10;2;3;.3979
5;10;3;0;.0061
5;10;3;1;.0372
5;10;3;2;.5572
5;10;3;3;.3995
5;11;1;0;0
5;11;1;1;.275
5;11;1;2;.3919
5;11;1;3;.3331
5;11;2;0;0
5;11;2;1;.1499
5;11;2;2;.4546
5;11;2;3;.3955
5;11;3;0;0
5;11;3;1;.0542
5;11;3;2;.5534
5;11;3;3;.3924
5;12;1;0;.0613
5;12;1;1;.2321
5;12;1;2;.3623
5;12;1;3;.3443
5;12;2;0;.0305
5;12;2;1;.1284
5;12;2;2;.4263
5;12;2;3;.4148
5;12;3;0;.0039
5;12;3;1;.0474
5;12;3;2;.5292
5;12;3;3;.4195
5;13;1;0;.0189
5;13;1;1;.1977
5;13;1;2;.3616
5;13;1;3;.4218
5;13;2;0;.0089
5;13;2;1;.104
5;13;2;2;.4043
5;13;2;3;.4828
5;13;3;0;.0011
5;13;3;1;.0372
5;13;3;2;.4874
5;13;3;3;.4743
5;14;1;0;0
5;14;1;1;.2824
5;14;1;2;.3515
5;14;1;3;.3661
5;14;2;0;0
5;14;2;1;.1546
5;14;2;2;.4091
5;14;2;3;.4363
5;14;3;0;0
5;14;3;1;.0567
5;14;3;2;.5047
5;14;3;3;.4386
6;1;1;0;.15
6;1;1;1;.0739
6;1;1;2;.6279
6;1;1;3;.1482
6;1;2;0;.0481
6;1;2;1;.0615
6;1;2;2;.6773
6;1;2;3;.2131
6;1;3;0;.0109
6;1;3;1;.0508
6;1;3;2;.6753
6;1;3;3;.263
6;2;1;0;.1801
6;2;1;1;.0929
6;2;1;2;.5758
6;2;1;3;.1512
6;2;2;0;.0594
6;2;2;1;.0794
6;2;2;2;.638
6;2;2;3;.2232
6;2;3;0;.0135
6;2;3;1;.0663
6;2;3;2;.6421
6;2;3;3;.2781
6;3;1;0;.0329
6;3;1;1;.0839
6;3;1;2;.6343
6;3;1;3;.2489
6;3;2;0;.0094
6;3;2;1;.0622
6;3;2;2;.6096
6;3;2;3;.3188
6;3;3;0;.002
6;3;3;1;.0487
6;3;3;2;.5762
6;3;3;3;.3731
6;4;1;0;.0984
6;4;1;1;.1302
6;4;1;2;.4656
6;4;1;3;.3058
6;4;2;0;.0292
6;4;2;1;.1001
6;4;2;2;.4643
6;4;2;3;.4064
6;4;3;0;.0063
6;4;3;1;.0784
6;4;3;2;.4393
6;4;3;3;.476
6;5;1;0;.0669
6;5;1;1;.1293
6;5;1;2;.5188
6;5;1;3;.285
6;5;2;0;.0195
6;5;2;1;.098
6;5;2;2;.5096
6;5;2;3;.3729
6;5;3;0;.0042
6;5;3;1;.0767
6;5;3;2;.4822
6;5;3;3;.4369
6;6;1;0;.0512
6;6;1;1;.1188
6;6;1;2;.4873
6;6;1;3;.3427
6;6;2;0;.0145
6;6;2;1;.0873
6;6;2;2;.4637
6;6;2;3;.4345
6;6;3;0;.003
6;6;3;1;.0671
6;6;3;2;.4305
6;6;3;3;.4994
6;7;1;0;.0758
6;7;1;1;.2148
