region_id;iso_smaf;gr_age;choice;prob
1;1;1;0;.0177
1;1;1;1;.1514
1;1;1;2;.5573
1;1;1;3;.2736
1;1;2;0;.0055
1;1;2;1;.0959
1;1;2;2;.5451
1;1;2;3;.3535
1;1;3;0;.0008
1;1;3;1;.066
1;1;3;2;.5532
1;1;3;3;.38
1;2;1;0;.0318
1;2;1;1;.1904
1;2;1;2;.48
1;2;1;3;.2978
1;2;2;0;.01
1;2;2;1;.1225
1;2;2;2;.4768
1;2;2;3;.3907
1;2;3;0;.0015
1;2;3;1;.0852
1;2;3;2;.4889
1;2;3;3;.4244
1;3;1;0;.0062
1;3;1;1;.204
1;3;1;2;.4765
1;3;1;3;.3133
1;3;2;0;.0019
1;3;2;1;.1289
1;3;2;2;.4652
1;3;2;3;.404
1;3;3;0;.0003
1;3;3;1;.0891
1;3;3;2;.4743
1;3;3;3;.4363
1;4;1;0;.0079
1;4;1;1;.1444
1;4;1;2;.4093
1;4;1;3;.4384
1;4;2;0;.0023
1;4;2;1;.0861
1;4;2;2;.3775
1;4;2;3;.5341
1;4;3;0;.0003
1;4;3;1;.0583
1;4;3;2;.3768
1;4;3;3;.5646
1;5;1;0;.0049
1;5;1;1;.1905
1;5;1;2;.4627
1;5;1;3;.3419
1;5;2;0;.0015
1;5;2;1;.1186
1;5;2;2;.4453
1;5;2;3;.4346
1;5;3;0;.0002
1;5;3;1;.0816
1;5;3;2;.4515
1;5;3;3;.4667
1;6;1;0;.0001
1;6;1;1;.1695
1;6;1;2;.4276
1;6;1;3;.4028
1;6;2;0;0
1;6;2;1;.1026
1;6;2;2;.3999
1;6;2;3;.4975
1;6;3;0;0
1;6;3;1;.0699
1;6;3;2;.4013
1;6;3;3;.5288
1;7;1;0;.0049
1;7;1;1;.1875
1;7;1;2;.446
1;7;1;3;.3616
1;7;2;0;.0015
1;7;2;1;.1161
1;7;2;2;.4261
1;7;2;3;.4563
1;7;3;0;.0002
1;7;3;1;.0797
1;7;3;2;.4311
1;7;3;3;.489
1;8;1;0;.001
1;8;1;1;.11
1;8;1;2;.488
1;8;1;3;.401
1;8;2;0;.0003
1;8;2;1;.0654
1;8;2;2;.448
1;8;2;3;.4863
1;8;3;0;0
1;8;3;1;.0441
1;8;3;2;.4447
1;8;3;3;.5112
1;9;1;0;.0018
1;9;1;1;.1019
1;9;1;2;.4258
1;9;1;3;.4705
1;9;2;0;.0005
1;9;2;1;.0593
1;9;2;2;.3823
1;9;2;3;.5579
1;9;3;0;.0001
1;9;3;1;.0396
1;9;3;2;.3772
1;9;3;3;.5831
1;10;1;0;.0046
1;10;1;1;.0919
1;10;1;2;.5584
1;10;1;3;.3451
1;10;2;0;.0014
1;10;2;1;.0553
1;10;2;2;.5194
1;10;2;3;.4239
1;10;3;0;.0002
1;10;3;1;.0373
1;10;3;2;.5162
1;10;3;3;.4463
1;11;1;0;0
1;11;1;1;.1152
1;11;1;2;.4903
