region_id;iso_smaf;gr_age;sans_services;dom;rpa;ri;nsa;chsld
1;1;1;.0006682;.0097772;.0076336;.0018762;0;0
1;1;2;.0028631;.0101841;.0134228;0;0;0
1;1;3;.0019078;.0088121;.0087996;.0196078;0;.037037
1;2;1;.0009473;.0060976;.0053763;0;0;0
1;2;2;.0039635;.0097561;.0056818;0;0;0
1;2;3;.0041106;.0129294;.0108469;.0344828;0;0
1;3;1;.00164;.0206897;.0084034;0;0;0
1;3;2;.003268;.0322581;.0074349;0;0;0
1;3;3;.0037835;.0173116;.0109402;.0081967;0;0
1;4;1;.0028584;.0075202;.015361;0;0;0
1;4;2;.002261;.009189;.0116732;0;0;0
1;4;3;.0058734;.0139682;.0121367;.0314136;0;0
1;5;1;.000632;.0073099;.0051546;.0022359;0;0
1;5;2;.0020562;.0027435;.0066225;.0054054;0;0
1;5;3;.0040664;.0126023;.0067641;.003096;0;.030303
1;6;1;.002103;.0100756;.0068259;.002681;0;.1428571
1;6;2;.012685;.015748;.0119048;0;0;0
1;6;3;.006603;.0182381;.0135196;.0076661;0;.0509091
1;7;1;.0010684;.0075676;.0076336;.0005441;0;0
1;7;2;.0021739;.0192308;.0069444;.0079727;0;.0111111
1;7;3;.0031624;.0080338;.0104167;.0073573;0;.0385675
1;8;1;.0086207;.0205479;.006734;0;0;.009009
1;8;2;.0072464;.04;0;.0054945;0;0
1;8;3;.0065952;.0159255;.0149886;.0177177;0;.030137
1;9;1;.0058285;.0104428;.0075949;.002459;0;.0074946
1;9;2;.007177;.0195272;.0121581;.0058224;0;.0227273
1;9;3;.0162602;.0273521;.0249684;.0240218;0;.032102
1;10;1;.0008172;.004008;.0066225;.000841;0;.0085837
1;10;2;0;.0119048;.0140845;.0047244;0;.0243902
1;10;3;.0076628;.0168006;.020765;.0165289;1;.0372775
1;11;1;.0042827;.0125786;.0142857;.0048193;0;.015625
1;11;2;.0186335;0;.0263158;.0045455;0;.0118577
1;11;3;.0207764;.0350047;.0360934;.0296053;0;.0352872
1;12;1;.0005708;.0025907;0;.0042017;0;.0233918
1;12;2;.0086207;.0263158;0;.0026738;0;.0232558
1;12;3;.0099626;.0265823;.0201794;.0208333;.0714286;.0388947
1;13;1;.003148;.0134771;.0127389;.0031949;0;.0143816
1;13;2;0;.0540541;0;0;0;.0149813
1;13;3;.0302648;.063981;.0414878;.0288288;.0714286;.0429992
1;14;1;.0035492;.0112219;.0117647;.006135;0;.0207469
1;14;2;.0121951;.0298507;0;0;0;.027088
1;14;3;.0393343;.0436508;.0619048;.0487239;0;.0426267
2;1;1;.000729;.0025088;.0084388;.0082192;0;0
2;1;2;.0012923;.0098209;.0049505;0;0;0
2;1;3;.0016124;.0062218;.0082058;.0175439;0;.0116279
2;2;1;.0007346;.00666;.0134228;0;0;0
2;2;2;.0038824;.0091491;.0153061;0;0;0
2;2;3;.0028402;.0115291;.0115503;0;0;0
2;3;1;.0018783;.006006;0;.0025543;0;0
2;3;2;.0030303;.0049751;0;0;0;0
2;3;3;.0014703;.0108192;.0096609;0;0;0
2;4;1;.0019822;.0049457;.007269;.0098522;0;0
2;4;2;.0046468;.0117878;.0054745;.015625;0;0
2;4;3;.0049733;.0132247;.0109661;0;0;.045977
2;5;1;.0002727;.0025278;.0029369;.0025897;0;.0155039
2;5;2;.0023292;.0072072;.0051107;0;0;.0357143
2;5;3;.0028905;.0090133;.0078877;.0034722;0;.0240385
2;6;1;.0033149;.0092105;.0033003;.0017794;0;0
2;6;2;.0074963;.0102041;.0124069;0;0;.0078125
