region_id;annee;gr_age;inf_chsld;avq_chsld;inf_clsc;avq_clsc
1;2015;1;.00013019;.00156855;0;.00003262
1;2016;1;.00014296;.00156743;0;.00001289
1;2017;1;.00001164;.00204776;0;.00007203
1;2018;1;.00013061;.00197332;0;.00003309
1;2019;1;0;.00223287;0;.00002817
1;2020;1;0;.00397528;0;.00006489
1;2021;1;6.884e-06;.00282554;0;.00008564
1;2015;2;.00363488;.00450086;.0001822;.00016562
1;2016;2;.0032787;.00441846;.00024059;.00015633
1;2017;2;.00254386;.005049;.00032614;.00023862
1;2018;2;.00305907;.00558863;.00032527;.00006512
1;2019;2;.00359168;.00546031;.00021578;.00016043
1;2020;2;.00371462;.00734634;.00053294;.00012992
1;2021;2;.00326385;.00659213;.00057138;.00017164
1;2015;3;.00332973;.00472726;.00029079;.0000752
1;2016;3;.00352174;.00503588;.00042057;.00001621
1;2017;3;.00425282;.00527162;.00084104;.00004788
1;2018;3;.00424524;.00494537;.00074394;.00021659
1;2019;3;.00430245;.00466031;.0011912;.00027782
1;2020;3;.00471486;.00529236;.00173675;.00031996
1;2021;3;.00370152;.00555451;.00124828;.00057702
1;2015;4;.00384066;.00449819;.00084811;.00010886
1;2016;4;.00395414;.00404062;.00090149;.00030101
1;2017;4;.00419702;.00376974;.0019124;.00060295
1;2018;4;.00368512;.00457126;.00166435;.0006891
1;2019;4;.00394351;.00526198;.00153716;.00052463
1;2020;4;.00409415;.00627931;.0013928;.00033033
1;2021;4;.0034742;.00655753;.00143283;.00020774
1;2015;5;.00295675;.00395563;.00064514;.00011066
1;2016;5;.00284191;.00392302;.00066249;.00013287
1;2017;5;.00278887;.00376002;.00140763;.00039023
1;2018;5;.00324146;.00361701;.00130224;.00059788
1;2019;5;.00348547;.00334514;.00164206;.00069368
1;2020;5;.00364818;.00493765;.00234687;.00074048
1;2021;5;.00371848;.00423008;.00208935;.00083929
1;2015;6;.00393236;.0052742;.00143112;.00038742
1;2016;6;.00371044;.00466226;.00130744;.00026186
1;2017;6;.00372808;.00496049;.0010978;.00091467
1;2018;6;.00301703;.00463843;.00121679;.00085421
1;2019;6;.00266797;.00430985;.00116868;.00093444
1;2020;6;.00302452;.00483326;.00137503;.00089424
1;2021;6;.00285164;.0053663;.00157168;.0008575
1;2015;7;.0024725;.00466453;.00109231;.00055946
1;2016;7;.003043;.00495622;.00139716;.0004869
1;2017;7;.00324325;.00521837;.0016952;.00103162
1;2018;7;.00343843;.00497542;.00162956;.00089282
1;2019;7;.00305472;.00484628;.0014286;.00066482
1;2020;7;.00336228;.00679932;.00155581;.00096089
1;2021;7;.0029865;.00770104;.00152769;.00108825
