region_id;annee;nb_usagers;nb_etc_avq;hrs_avq;nb_employes;couts;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
1;2015;674;100.9265;174098.27;1193;2803773.8;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
1;2016;620;90.33249;155823.54;912;2464696.3;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
1;2017;707;93.03443;160484.4;1124;2562994.4;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
1;2018;800;103.4789;178501.1;1328;2873955.2;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
1;2019;1175;128.7731;222133.55;1868;3838359.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
1;2020;1329;154.1452;265900.53;2074;5436131.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
1;2021;1777;215.2366;371283.19;3392;8854606;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
2;2015;454;84.94547;146530.94;860;2282410.8;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
2;2016;473;76.98104;132792.3;928;2073668.6;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
2;2017;553;78.46423;135350.8;1052;2177405.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
2;2018;612;92.11028;158890.22;1173;2517984.7;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
2;2019;587;90.84001;156699.02;1075;2636774;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
2;2020;575;99.63209;171865.35;1025;3310726.4;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
2;2021;544;118.3209;204103.53;852;4733694.1;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
3;2015;607;197.3466;340422.84;1324;5424403.2;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
3;2016;591;182.3964;314633.83;1298;5022918.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
3;2017;576;178.1003;307223.04;1257;4999190.1;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
3;2018;589;176.1848;303918.83;1278;5105859.6;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
3;2019;547;166.9834;288046.37;1139;5184545.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
3;2020;537;161.647;278841.16;1039;5679386.9;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
3;2021;865;232.2316;400599.51;1536;9436872.5;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
4;2015;499;205.8809;355144.51;1073;5098575.6;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
