region_id;annee;nb_places_pub;nb_installations;nb_places_nc;nb_etc_avq;nb_etc_inf;heures_tot_trav_avq;heures_tot_trav_inf;nb_usagers_pub;nb_usagers_nc;iso_smaf_pub1;iso_smaf_pub2;iso_smaf_pub3;iso_smaf_pub4;iso_smaf_pub5;iso_smaf_pub6;iso_smaf_pub7;iso_smaf_pub8;iso_smaf_pub9;iso_smaf_pub10;iso_smaf_pub11;iso_smaf_pub12;iso_smaf_pub13;iso_smaf_pub14;iso_smaf_nc1;iso_smaf_nc2;iso_smaf_nc3;iso_smaf_nc4;iso_smaf_nc5;iso_smaf_nc6;iso_smaf_nc7;iso_smaf_nc8;iso_smaf_nc9;iso_smaf_nc10;iso_smaf_nc11;iso_smaf_nc12;iso_smaf_nc13;iso_smaf_nc14;nb_en_attente;duree_attente;iso_smaf_attente1;iso_smaf_attente2;iso_smaf_attente3;iso_smaf_attente4;iso_smaf_attente5;iso_smaf_attente6;iso_smaf_attente7;iso_smaf_attente8;iso_smaf_attente9;iso_smaf_attente10;iso_smaf_attente11;iso_smaf_attente12;iso_smaf_attente13;iso_smaf_attente14;sans_iso_smaf_attente;age_en_attente0_64;age_en_attente65_74;age_en_attente75_84;age_en_attente85_94;age_en_attente95_plus;cout_fixe
1;2015;989;14;0;1102.3468;501.26632;1493489.5;758253.25;833.3333;2.0;0.000899;0.0;0.0;0.002398;0.000699;0.007794;0.013289;0.032774;0.101419;0.113809;0.180655;0.157174;0.205635;0.183453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.285714;0.214286;0.428571;0.071429;0.0;8;46.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.125;0.25;0.125;0.375;0.0;0.0;0.125;0.5;0.375;0.0;60188.0
1;2016;980;14;0;1064.4146;487.2096;1451135.0;749047.84;799.1667;1.0;0.000626;0.000417;0.0;0.004171;0.00292;0.004171;0.010845;0.028154;0.073827;0.102607;0.179666;0.176434;0.246507;0.169656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8;80.775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.375;0.125;0.25;0.125;0.0;0.0;0.125;0.375;0.5;0.0;60188.0
1;2017;959;14;0;1050.7244;485.19919;1430303.4;751356.21;776.5;1.25;0.000107;0.000966;0.0;0.004829;0.005259;0.005688;0.009659;0.033162;0.080811;0.100021;0.198218;0.144452;0.23299;0.183838;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.8;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60188.0
1;2018;942;15;0;1033.0958;487.98704;1462113.9;765091.13;800.0833;2.666667;0.002393;0.000937;0.000624;0.004579;0.005723;0.006348;0.013632;0.02539;0.062851;0.120604;0.220916;0.149532;0.218626;0.167846;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.342857;0.0;0.0;0.542857;0.114286;0.0;0.0;5;40.32;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.4;0.0;0.2;0.2;0.0;0.0;0.0;0.4;0.4;0.2;0.0;60188.0
1;2019;945;16;0;1016.0071;488.47649;1475901.3;789058.36;869.5;5.0;0.001054;0.000383;0.000767;0.002779;0.004121;0.010638;0.01773;0.032777;0.064788;0.12833;0.222733;0.160533;0.191681;0.161683;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.133333;0.333333;0.133333;0.2;0.0;35;135.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028571;0.0;0.085714;0.342857;0.428571;0.114286;0.0;0.0;0.0;0.1142857;0.2857143;0.4857143;0.1142857;60188.0
1;2020;945;16;0;1278.3022;534.29798;1888911.9;876676.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58;208.22414;0.0;0.0;0.0;0.0;0.0;0.017241;0.0;0.017241;0.137931;0.189655;0.293103;0.275862;0.034483;0.034483;0.0;0.1034483;0.1034483;0.2758621;0.4310345;0.0862069;60188.0
2;2015;1203;20;0;612.72896;284.31638;825561.35;434106.56;1088.167;1.0;0.003523;7.7e-05;0.000919;0.001378;0.012942;0.027876;0.040512;0.074437;0.131643;0.183412;0.117093;0.167254;0.133941;0.104993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;32;122.8625;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0.0625;0.21875;0.125;0.09375;0.3125;0.125;0.03125;0.0;0.125;0.03125;0.40625;0.34375;0.09375;69462.0
2;2016;1194;20;0;610.22053;283.4946;826909.54;435245.92;1087.417;1.583333;0.002681;0.000153;0.001072;0.002298;0.015781;0.028344;0.042209;0.072392;0.10311;0.187759;0.144553;0.167228;0.131684;0.100735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.363636;0.0;0.0;0.545455;0.0;0.0;0.090909;32;299.24375;0.0;0.0;0.0;0.0;0.0;0.03125;0.0;0.03125;0.125;0.28125;0.09375;0.21875;0.15625;0.0;0.0625;0.09375;0.0625;0.25;0.53125;0.0625;69462.0
2;2017;1204;20;0;625.21941;285.87138;854063.19;443689.0;1070.417;2.583333;0.00327;0.000545;0.003348;0.001635;0.011211;0.026158;0.041339;0.061269;0.091787;0.20109;0.136785;0.178279;0.139821;0.103464;0.0;0.0;0.0;0.129032;0.0;0.032258;0.0;0.387097;0.0;0.290323;0.16129;0.0;0.0;0.0;32;136.4;0.0;0.0;0.0;0.0;0.0;0.0;0.03125;0.03125;0.09375;0.34375;0.15625;0.3125;0.03125;0.0;0.0;0.03125;0.15625;0.25;0.5;0.0625;69462.0
2;2018;1218;20;0;615.99116;293.9133;834270.37;453711.85;1070.25;4.25;0.003192;7.8e-05;0.003348;0.001635;0.006541;0.022814;0.02842;0.058164;0.103403;0.200498;0.153547;0.217317;0.118742;0.082302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235294;0.235294;0.254902;0.039216;0.0;0.235294;0.0;17;61.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.117647;0.117647;0.058824;0.588235;0.0;0.117647;0.0;0.1176471;0.1176471;0.2941177;0.2352941;0.2352941;69462.0
2;2019;1225;20;20;601.56414;285.35315;850214.61;463392.92;1114.5;1.333333;0.002841;0.000299;0.002467;0.002019;0.006057;0.015179;0.03118;0.05892;0.090325;0.183042;0.163377;0.218185;0.136982;0.089128;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0;0.0;0.1875;0.0;0.75;0.0;38;62.142105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078947;0.289474;0.210526;0.315789;0.105263;0.0;0.0;0.0;0.131579;0.2368421;0.5263158;0.1052632;69462.0
