region_id;annee;nb_usagers_svc;heures_tot_trav_inf;heures_tot_trav_avq;heures_tot_trav_avd;nb_etc_inf;nb_etc_avq;nb_etc_avd;tx_hrs_indirect_inf;tx_hrs_indirect_avq;hrs_moy_etc_inf;hrs_moy_etc_avq;hrs_moy_etc_avd
1;2015;1907.083;132669.7;269464.6;3579.887;93.47149;186.3452;2.47563;.8313865;.7455003;1419.36;1446.051;1446.051
1;2016;1982.75;137269.5;255104.3;478.8484;96.34684;170.2945;.3196545;.8304199;.7394791;1424.743;1498.019;1498.019
1;2017;1890.083;142624.8;297618.4;1178.509;99.88292;205.1688;.8124276;.8407332;.7614423;1427.92;1450.602;1450.602
1;2018;1999.417;131580;359688.6;3245.774;90.15855;241.2259;2.176785;.7873359;.7370951;1459.429;1491.086;1491.086
1;2019;2513.667;118389;460446.8;660876.2;78.93298;301.4785;432.7102;.8018444;.7616006;1499.867;1527.295;1527.295
2;2015;2950.75;122677.9;168874.5;75072.59;87.46413;114.451;50.87882;.7792249;.4251543;1402.608;1475.517;1475.517
2;2016;2791.167;113802.8;163128;62693.88;79.79409;110.8049;42.58493;.7485194;.4163609;1426.206;1472.208;1472.208
2;2017;2875;97509.23;162521.8;218645.3;70.83801;114.9184;154.6031;.7075682;.3653171;1376.51;1414.236;1414.236
2;2018;2998.917;93978.46;188290.2;210616.1;70.29226;128.0159;143.195;.6623093;.3280472;1336.967;1470.834;1470.834
2;2019;3018.167;91601.98;221204.5;231536.9;68.91204;152.5263;159.6508;.6594222;.4284026;1329.26;1450.271;1450.271
3;2015;4197;202534;340152.5;140081.7;145.3062;250.1259;103.007;.7732703;.4971248;1393.843;1359.925;1359.925
3;2016;4420.583;185973.6;436090.5;135296.4;135.8496;315.4843;97.87856;.7479281;.5255216;1368.967;1382.289;1382.289
3;2017;4334.833;193711.5;531737.4;227548.8;138.4289;377.6217;161.5974;.7409903;.5428785;1399.358;1408.122;1408.122
3;2018;4236.833;214909.2;560686.1;219341;148.0543;395.2241;154.6121;.7439624;.5372311;1451.556;1418.654;1418.654
3;2019;4081.167;247755.7;680442;213716.6;166.8381;467.4092;146.8062;.7585261;.5653746;1485.007;1455.774;1455.774
4;2015;4015.917;178087.3;275473.2;13857.07;118.4713;188.9958;9.507017;.7807229;.4169261;1503.211;1457.562;1457.562
4;2016;4107.917;162249.5;276895.8;13320.83;108.6786;190.5729;9.16803;.7543294;.3941512;1492.929;1452.965;1452.965
4;2017;4002.583;156988.8;280599.6;16791.48;103.949;194.7635;11.65493;.7539163;.3882779;1510.248;1440.719;1440.719
4;2018;3956.917;164475.7;304185.5;46336.6;106.8909;203.9099;31.06161;.7454064;.4134384;1538.725;1491.764;1491.764
4;2019;3853.167;166675.8;356380.8;85582.97;108.5496;236.6055;56.81955;.7623259;.4349645;1535.481;1506.224;1506.224
5;2015;2813.25;129382.8;266217.9;11670.77;89.59507;186.6521;8.182674;.8027807;.5471588;1444.084;1426.279;1426.279
5;2016;3040.167;136319.2;269119.1;9680.387;93.99934;193.1284;6.946953;.7973847;.5436804;1450.214;1393.472;1393.472
5;2017;2800.417;128955;270241.2;10377.41;90.34734;194.1143;7.454095;.7976428;.5434477;1427.325;1392.175;1392.175
5;2018;2959.167;148628.3;340604.1;96473.65;100.879;236.7294;67.0519;.7176996;.4303182;1473.332;1438.791;1438.791
