region_id;annee;nb_usagers_avd;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14;heures_tot_trav_avd;nb_etc_avd;tx_hrs_dep_avd;tx_hrs_admin_avd;sal_avd;cout_hr_services_avd;tx_contrib_avd
1;2015;3519.917;.308601;.138474;.036483;.24333;.058193;.057127;.040247;.028173;.058311;.010677;.005516;.006676;.00625;.001941;554719.6;314.7345;.05097374;.09288506;17.5475;20.49603;.3702228
1;2016;3160.167;.341912;.136148;.037762;.226887;.059121;.046358;.045884;.027135;.05448;.008438;.007173;.005063;.003164;.000475;447632;253.9756;.05099327;.09292064;17.7188;20.69739;.34913
1;2017;3140.583;.331361;.117574;.035609;.263566;.049566;.042826;.03882;.028869;.051477;.018707;.009048;.006501;.004644;.001433;449617.2;255.1019;.05169013;.09444296;18.0425;21.13034;.3233761
1;2018;3450.833;.34511;.112123;.033639;.234412;.070273;.060155;.038276;.029534;.049771;.00652;.007921;.006037;.003936;.002294;455341.6;258.3499;.05534822;.10143706;19.0875;22.63658;.3217447
1;2019;3464.833;.361128;.110034;.033575;.225456;.055751;.050123;.038073;.030232;.060874;.013902;.008971;.007191;.00368;.00101;489243.8;277.5851;.05621018;.10426816;20.0313;23.86031;.2987187
2;2015;3659.917;.385665;.09283;.026663;.226394;.054509;.05542;.048567;.025319;.055443;.009313;.005123;.006057;.007218;.00148;605185.8;343.3678;.05097374;.09288506;19.842;23.17608;.4140728
2;2016;3341.75;.350191;.083813;.023491;.256078;.064662;.053415;.045984;.027805;.067804;.012119;.006484;.003167;.003042;.001945;505478.9;286.7966;.05099327;.09292064;20.626;24.09337;.3984474
2;2017;3320.583;.311868;.079705;.028986;.277938;.066454;.059829;.048059;.03521;.061636;.012222;.00788;.005245;.002836;.002133;511779.7;290.3715;.05169013;.09444296;21.492;25.1702;.3830788
2;2018;3493.25;.320213;.072091;.024356;.257306;.064219;.065412;.057897;.029963;.07264;.015697;.007801;.006536;.00396;.001908;518196;294.0119;.05534822;.10143706;22.95;27.21727;.3810006
2;2019;3155.083;.295291;.081007;.02253;.273236;.057711;.076622;.048123;.040173;.066744;.015557;.008875;.006471;.005124;.002536;492567.4;279.4709;.05621018;.10426816;24.05;28.64726;.3578088
3;2015;3794.083;.301368;.078697;.027784;.281205;.04865;.060555;.0378;.040831;.078082;.019987;.010038;.010213;.003053;.001735;358350.3;203.3194;.05097374;.09288506;21.4729;25.08097;.4833876
3;2016;3620;.294038;.083057;.02546;.291459;.053315;.058218;.039756;.03552;.075576;.012339;.011096;.01204;.004903;.003223;303890;172.4199;.05099327;.09292064;21.8471;25.5198;.4788563
3;2017;3930;.307422;.07693;.018215;.278923;.057782;.061069;.046798;.038295;.074576;.010178;.010857;.010751;.004877;.003329;299590.6;169.9805;.05169013;.09444296;22.5729;26.43604;.4611763
3;2018;3717;.307058;.076092;.019169;.26955;.062573;.066272;.043337;.04374;.071989;.013564;.011479;.008587;.004775;.001816;283649.9;160.9361;.05534822;.10143706;23.6429;28.03895;.4510752
3;2019;3305.25;.324812;.075309;.015052;.292414;.052316;.055417;.042206;.041021;.068225;.011623;.010211;.00595;.003883;.001563;263534;149.5228;.05621018;.10426816;24.3857;29.04715;.4214754
4;2015;5164.167;.445119;.101452;.022866;.224609;.047668;.041698;.029127;.023495;.04486;.006568;.003792;.004196;.003147;.001404;497812.2;282.4466;.05097374;.09288506;17.8408;20.83858;.4147485
4;2016;4939.667;.439098;.094912;.028275;.216799;.05606;.039156;.031193;.020632;.052028;.006124;.004538;.005989;.003543;.001653;440654.6;250.0168;.05099327;.09292064;18.5062;21.61716;.4036227
4;2017;5016.917;.434414;.091308;.028321;.218328;.042656;.046692;.030231;.022391;.05518;.009418;.005365;.008704;.004335;.002658;445086.1;252.5311;.05169013;.09444296;18.8508;22.07702;.3744484
4;2018;4998;.438859;.094938;.029028;.215653;.049603;.048136;.031696;.028145;.035981;.007886;.006486;.006453;.004102;.003035;399876.2;226.8801;.05534822;.10143706;19.4042;23.01213;.3575268
4;2019;5116;.411699;.096218;.03709;.208496;.049192;.055577;.035216;.030362;.047547;.0072;.007428;.005196;.005897;.002883;393451.7;223.235;.05621018;.10426816;20.2542;24.12584;.3318714
5;2015;2753.5;.36617;.091096;.019127;.272986;.052781;.04573;.048332;.024121;.045245;.014466;.004509;.009261;.003995;.002179;247400.2;140.3689;.05097374;.09288506;18.055;21.08881;.4568374
5;2016;2580;.366957;.093411;.027164;.244735;.056072;.041247;.044864;.026615;.055103;.020769;.006944;.009012;.004102;.003004;209220.8;118.7068;.05099327;.09292064;19.3825;22.64083;.457691
5;2017;2614.333;.348177;.076724;.019635;.256216;.059225;.047048;.060085;.037613;.053615;.014663;.010328;.011093;.004367;.001211;198831;112.8119;.05169013;.09444296;19.9925;23.41407;.4365458
5;2018;2974.75;.339244;.096423;.017677;.24002;.064151;.045298;.063115;.042861;.053366;.014455;.006359;.008348;.003978;.004706;202044;114.6349;.05534822;.10143706;20.7938;24.66009;.4204365
5;2019;2994.667;.32338;.09478;.022874;.250167;.061749;.043633;.06275;.044941;.060608;.016585;.005983;.007625;.00384;.001085;190079.1;107.8463;.05621018;.10426816;21.9;26.08628;.3953532
6;2015;10204.08;.321219;.104599;.014618;.314106;.035827;.056178;.02432;.027718;.062687;.009914;.007717;.009588;.007415;.004091;512021.8;290.5089;.05097374;.09288506;19.5944;22.88693;.4552374
6;2016;9374.583;.313694;.09332;.013965;.323694;.036802;.056367;.028375;.028019;.067505;.012756;.006996;.007467;.007689;.003351;464951.8;263.8024;.05099327;.09292064;19.8144;23.14539;.4328068
6;2017;9583.167;.303814;.088097;.015131;.343484;.035148;.051027;.028305;.029783;.063575;.009287;.008409;.011226;.007296;.005417;464358.1;263.4656;.05169013;.09444296;20.3256;23.80413;.4087705
6;2018;9623.5;.305814;.08868;.01376;.330519;.038274;.056701;.024956;.032473;.067907;.008729;.009421;.010391;.007759;.004615;456111;258.7864;.05534822;.10143706;21.2306;25.17811;.3939793
