region_id;annee;nb_usagers;nb_etc_avq;nb_etc_avd;heures_tot_trav_avq;heures_tot_trav_avd;tx_hrs_dep_avq;tx_hrs_dep_avd;sal_avq;sal_avd;cout_hr_serv_avq;cout_hr_serv_avd
1;2015;674;120.2392;.2827466;207412.7;487.7378;.1625881;.1625881;13.48614;13.48614;16.14242;16.14242
1;2016;620;107.6437;.2272932;185685.5;392.0808;.1625881;.1625881;13.24553;13.24553;15.85063;15.85063
1;2017;707;110.9688;.128746;191421.2;222.0868;.1625881;.1625881;13.37377;13.37377;15.98889;15.98889
1;2018;800;123.4477;.1222259;212947.2;210.8396;.1625881;.1625881;13.48274;13.48274;16.11643;16.11643
1;2019;1175;153.7751;0;265262;0;.1625881;.1625881;14.47007;14.47007;17.27951;17.27951
2;2015;454;96.08852;2.69435;165752.7;4647.753;.1400789;.1400789;13.39439;13.39439;16.01307;16.01307
2;2016;473;88.54873;.9723211;152746.6;1677.254;.1400789;.1400789;13.42842;13.42842;15.78735;15.78735
2;2017;553;91.07526;.1705952;157104.8;294.2767;.1400789;.1400789;13.83366;13.83366;16.11726;16.11726
2;2018;612;106.8588;.2559746;184331.5;441.5562;.1400789;.1400789;13.62745;13.62745;15.88528;15.88528
2;2019;587;105.1597;.4779554;181400.4;824.4731;.1400789;.1400789;14.46989;14.46989;16.90348;16.90348
3;2015;607;172.3766;50.95158;297349.7;87891.47;.1163384;.1163384;14.08054;14.08054;20.64422;20.64422
3;2016;591;163.2952;43.11466;281684.1;74372.79;.1163384;.1163384;14.10707;14.10707;20.17938;20.17938
3;2017;576;159.3057;42.24237;274802.4;72868.09;.1163384;.1163384;14.3791;14.3791;20.58701;20.58701
3;2018;589;160.1384;39.24204;276238.7;67692.52;.1163384;.1163384;14.84558;14.84558;20.91695;20.91695
3;2019;547;150.2843;38.68332;259240.4;66728.72;.1163384;.1163384;15.90502;15.90502;22.63195;22.63195
4;2015;499;166.3486;82.4004;286951.3;142140.7;.1723348;.1723348;11.88224;11.88224;21.46772;21.46772
4;2016;477;158.9036;76.62708;274108.8;132181.7;.1723348;.1723348;11.95821;11.95821;21.41536;21.41536
4;2017;488;161.652;71.62194;278849.6;123547.8;.1723348;.1723348;12.14649;12.14649;21.17783;21.17783
4;2018;465;154.7883;73.82921;267009.9;127355.4;.1723348;.1723348;12.44218;12.44218;22.20308;22.20308
4;2019;490;162.9518;76.62707;281091.9;132181.7;.1723348;.1723348;14.04619;14.04619;24.95129;24.95129
5;2015;544;134.0975;14.4374;231318.1;24904.52;.1265405;.1265405;12.49568;12.49568;15.8462;15.8462
5;2016;520;124.9854;9.580282;215599.8;16525.99;.1265405;.1265405;12.43442;12.43442;15.32702;15.32702
5;2017;522;126.4153;10.62067;218066.5;18320.66;.1265405;.1265405;13.12495;13.12495;16.28883;16.28883
5;2018;558;132.6643;9.391582;228845.9;16200.48;.1265405;.1265405;13.15237;13.15237;16.12376;16.12376
5;2019;657;150.0791;8.263653;258886.4;14254.8;.1265405;.1265405;14.70119;14.70119;17.75774;17.75774
6;2015;2150;636.5157;244.5498;1097990;421848.4;.089809;.089809;15.46618;15.46618;23.52066;23.52066
6;2016;2346;669.2611;223.3243;1154475;385234.4;.089809;.089809;15.86882;15.86882;23.25233;23.25233
6;2017;2648;780.8843;294.0848;1347026;507296.2;.089809;.089809;15.93017;15.93017;24.09334;24.09334
6;2018;3098;885.2933;297.0616;1527131;512431.3;.089809;.089809;16.17316;16.17316;23.73139;23.73139
6;2019;3492;999.507;337.1644;1724150;581608.6;.089809;.089809;16.50627;16.50627;24.25243;24.25243
7;2015;528;132.3935;12.48789;228378.9;21541.61;.1498885;.1498885;12.08585;12.08585;15.55777;15.55777
7;2016;540;129.0622;7.944174;222632.3;13703.7;.1498885;.1498885;11.97223;11.97223;14.94999;14.94999
7;2017;681;165.5524;11.28664;285577.9;19469.46;.1498885;.1498885;12.60218;12.60218;15.8348;15.8348
7;2018;885;217.7865;16.28146;375681.6;28085.51;.1498885;.1498885;13.8167;13.8167;17.46785;17.46785
7;2019;1014;247.1137;17.17738;426271.1;29630.98;.1498885;.1498885;14.34013;14.34013;18.0411;18.0411
8;2015;360;78.84547;1.098539;136008.4;1894.981;.2498678;.2498678;10.65574;10.65574;14.40307;14.40307
8;2016;343;74.6187;.9672969;128717.3;1668.587;.2498678;.2498678;10.65932;10.65932;14.39412;14.39412
8;2017;278;73.9611;4.078514;127582.9;7035.437;.2498678;.2498678;11.21805;11.21805;15.77942;15.77942
8;2018;284;73.39536;3.267357;126607;5636.191;.2498678;.2498678;11.51318;11.51318;16.03145;16.03145
8;2019;250;66.1598;3.521341;114125.7;6074.314;.2498678;.2498678;12.70229;12.70229;17.83468;17.83468
9;2015;347;109.6936;18.73098;189221.5;32310.94;.303466;.303466;11.76281;11.76281;19.77132;19.77132
9;2016;368;115.6317;19.93031;199464.6;34379.78;.303466;.303466;11.73409;11.73409;19.75005;19.75005
9;2017;398;123.9943;19.52014;213890.2;33672.23;.303466;.303466;11.78634;11.78634;19.58532;19.58532
9;2018;426;143.3499;31.25069;247278.5;53907.45;.303466;.303466;11.74881;11.74881;20.54471;20.54471
9;2019;436;142.9413;35.62185;246573.8;61447.7;.303466;.303466;12.00218;12.00218;21.52543;21.52543
10;2015;8;2.204412;.1645177;3802.61;283.7931;.3444113;.3444113;10.25298;10.25298;16.80654;16.80654
10;2016;6;2.06242;.3436481;3557.675;592.793;.3444113;.3444113;9.64226;9.64226;17.15845;17.15845
10;2017;13;2.438934;.0020628;4207.161;3.55832;.3444113;.3444113;9.892113;9.892113;15.10166;15.10166
10;2018;20;4.05709;.0100588;6998.48;17.35139;.3444113;.3444113;9.840922;9.840922;15.04803;15.04803
10;2019;23;6.201749;.218855;10698.02;377.5249;.3444113;.3444113;11.02204;11.02204;17.40573;17.40573
11;2015;486;109.9312;3.122427;189631.4;5386.188;.1932723;.1932723;13.45474;13.45474;17.15188;17.15188
11;2016;420;89.997;1.895331;155244.8;3269.446;.1932723;.1932723;14.14242;14.14242;17.89979;17.89979
11;2017;386;86.96632;2.429192;150016.9;4190.356;.1932723;.1932723;14.47648;14.47648;18.44594;18.44594
11;2018;379;97.55491;6.902993;168282.2;11907.66;.1932723;.1932723;12.10315;12.10315;16.06437;16.06437
11;2019;369;96.88602;8.31688;167128.4;14346.62;.1932723;.1932723;13.28692;13.28692;17.88397;17.88397
12;2015;93;23.99663;2.700089;41394.19;4657.654;.162483;.162483;13.40888;13.40888;17.81175;17.81175
12;2016;94;24.599;3.221899;42433.27;5557.775;.162483;.162483;13.26681;13.26681;17.9154;17.9154
12;2017;119;27.2508;1.108769;47007.63;1912.627;.162483;.162483;13.37996;13.37996;16.62577;16.62577
12;2018;146;32.86969;1.178164;56700.22;2032.333;.162483;.162483;13.51475;13.51475;16.71508;16.71508
12;2019;178;37.0863;.8284088;63973.87;1429.005;.162483;.162483;14.16875;14.16875;17.29547;17.29547
13;2015;337;89.35386;15.91355;154135.4;27450.87;.1423063;.1423063;13.20693;13.20693;18.14055;18.14055
13;2016;471;111.3827;6.787545;192135.2;11708.51;.1423063;.1423063;13.39272;13.39272;16.56636;16.56636
13;2017;549;129.4326;7.747051;223271.3;13363.66;.1423063;.1423063;13.64328;13.64328;16.85903;16.85903
13;2018;579;142.2615;11.23092;245401.1;19373.33;.1423063;.1423063;13.7959;13.7959;17.35472;17.35472
13;2019;726;167.5546;8.744316;289031.8;15083.95;.1423063;.1423063;14.68889;14.68889;18.01981;18.01981
14;2015;433;132.2704;39.88058;228166.4;68794;.1742032;.1742032;11.92464;11.92464;18.79399;18.79399
14;2016;433;132.1296;39.67912;227923.5;68446.48;.1742032;.1742032;12.20518;12.20518;19.21835;19.21835
