region_id;annee;nb_places;nb_installations;nb_usagers;tx_occupation;nb_etc_ri_avq;nb_etc_ri_avd;nb_etc_sad_inf;nb_etc_sad_avq;nb_etc_sad_avd;heures_tot_trav_ri_avq;heures_tot_trav_ri_avd;heures_tot_trav_sad_inf;heures_tot_trav_sad_avq;heures_tot_trav_sad_avd;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14;nb_en_attente;duree_attente;iso_smaf_attente1;iso_smaf_attente2;iso_smaf_attente3;iso_smaf_attente4;iso_smaf_attente5;iso_smaf_attente6;iso_smaf_attente7;iso_smaf_attente8;iso_smaf_attente9;iso_smaf_attente10;iso_smaf_attente11;iso_smaf_attente12;iso_smaf_attente13;iso_smaf_attente14;sans_iso_smaf_attente;age_en_attente0_64;age_en_attente65_74;age_en_attente75_84;age_en_attente85_94;age_en_attente95_plus
1;2015;0;0;736;0;331.2;147.2;11.58431;.992103;.0008783;578275.3;257011.2;16229.59;1428.183;1.264399;.016418;.001585;.022532;.012568;.078125;.060349;.169044;.105865;.176178;.141418;.065331;.087296;.030231;.033062;40;115.815;0;0;0;0;.05;0;.425;.225;.15;.1;0;.05;0;0;0;.1;.1;.3;.45;.05
1;2016;0;0;741.75;0;333.7875;148.35;12.16817;.822803;0;582793;259019.1;17563.4;1247.548;0;.010785;.009662;.01438;.005954;.064712;.050893;.143804;.10819;.184361;.170093;.069655;.101786;.023593;.04213;22;170.36364;0;0;0;0;0;0;.227273;.136364;.272727;.181818;.090909;.090909;0;0;0;0;.0909091;.4090909;.4545455;.0454545
1;2017;0;0;730.9167;0;328.9125;146.1833;18.97433;1.492836;0;574281.3;255236.1;26954.32;2171.799;0;.012769;.003534;.01562;.012085;.057348;.043667;.1546;.076502;.193022;.189146;.070345;.105689;.023829;.041842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;2018;0;0;720.8333;0;324.375;144.1667;16.38424;2.915857;0;566358.8;251715;23823.85;4346.474;0;.019769;.005202;.021503;.011445;.060116;.039422;.184624;.08104;.174913;.166705;.067514;.102543;.025665;.039538;15;64.506667;0;0;0;0;0;0;.066667;.266667;.266667;.4;0;0;0;0;0;.0666667;.1333333;.1333333;.6;.0666667
1;2019;787;150.5833;733.5;1.077093;330.075;146.7;15.65655;23.42873;0;576311;256138.2;23440.61;35816.2;0;.027153;.011702;.020223;.0192;.076574;.033856;.155192;.116564;.162463;.169621;.062827;.090548;.0217;.032379;57;151.89123;0;0;0;0;0;0;.192982;.22807;.280702;.263158;.017544;.017544;0;0;0;.0701754;.1754386;.1929825;.5263158;.0350877
2;2015;0;0;634;0;285.3;126.8;9.212862;.0559524;.0150761;498133.8;221392.8;13017.33;80.13891;21.59303;.009464;.002234;.015904;.016824;.126577;.068349;.233833;.184148;.132361;.09214;.020505;.048107;.023002;.026551;105;290.41143;.019048;0;.019048;.028571;.095238;.066667;.352381;.295238;.057143;.028571;0;.009524;0;0;.028571;.0952381;.1428571;.3333333;.3714286;.0571429
2;2016;0;0;647.25;0;291.2625;129.45;10.64538;.0160528;.0003409;508544.3;226019.7;15202.05;23.54333;.5;.015579;.00206;.022531;.022917;.115875;.063087;.241406;.147161;.124501;.118321;.02781;.058066;.021759;.018926;131;365.34198;.007634;0;.007634;.015267;.099237;.061069;.366412;.259542;.10687;.030534;0;.007634;0;0;.038168;.0992366;.0992366;.3587786;.3816794;.0610687
2;2017;0;0;649;0;292.05;129.8;12.08956;.1245681;0;509919.3;226630.8;16681.21;173.5625;0;.014766;.007704;.026836;.010015;.097201;.045326;.235876;.162173;.13508;.112738;.0434;.064715;.020159;.024011;88;367.48409;.011364;0;0;0;.090909;.022727;.454545;.284091;.102273;.022727;0;0;0;0;.011364;.1363636;.1136364;.2840909;.4090909;.0568182
2;2018;0;0;647.6667;0;291.45;129.5333;10.81696;.0034204;0;508871.7;226165.2;14477.41;4.929167;0;.016598;.007205;.014668;.011323;.142048;.038343;.220021;.165852;.122362;.102934;.035383;.072568;.028049;.022645;35;211.89714;0;0;0;0;.028571;.028571;.257143;.371429;.228571;.057143;.028571;0;0;0;0;.0285714;.0285714;.3714286;.5142857;.0571429
2;2019;709;65.25;639.75;.9520089;287.8875;127.95;9.828087;.0011157;.0002263;502651.6;223400.7;13069.72;1.643333;.3333333;.011463;.005992;.016152;.005341;.112544;.031132;.240589;.162303;.155529;.104598;.044028;.073336;.02019;.016803;68;171.07941;0;0;0;0;0;.014706;.485294;.294118;.161765;.044118;0;0;0;0;0;.0147059;.1176471;.4411765;.3676471;.0588235
3;2015;0;0;1593.417;0;717.0375;318.6833;7.760426;.0431748;.004229;1251947;556421.1;10850.14;58.6479;5.744632;.032582;.018514;.078918;.025626;.176769;.101773;.157837;.104231;.077088;.092516;.025469;.052612;.022593;.033471;300;507.84533;0;0;.003333;.01;.063333;.136667;.27;.373333;.123333;.013333;0;0;.006667;0;0;.09;.1366667;.3;.3966667;.0766667
3;2016;0;0;1716.083;0;772.2375;343.2167;39.76868;.0860247;.0261055;1348327;599256.3;54893.52;119.4556;36.25056;.030739;.017967;.070364;.020298;.17943;.086;.166124;.126791;.08668;.075657;.020929;.053708;.028019;.037294;287;314.36655;0;0;0;0;.038328;.108014;.320558;.358885;.163763;.010453;0;0;0;0;0;.0557491;.1428571;.3275261;.4320557;.0418118
3;2017;0;0;1747.333;0;786.3;349.4667;42.42022;.5773808;.0599268;1372880;610168.8;59488.3;817.419;84.84058;.026135;.011684;.074018;.017312;.168256;.088277;.147272;.134395;.094239;.090233;.023369;.053224;.025658;.045927;216;281.38981;0;0;0;.00463;.027778;.092593;.310185;.365741;.199074;0;0;0;0;0;0;.0509259;.1064815;.3611111;.4305556;.0509259
3;2018;0;0;1728.917;0;778.0125;345.7833;38.13406;.0728563;0;1358410;603737.7;55405.17;103.6759;0;.035571;.011134;.080976;.016147;.151106;.084301;.139201;.152552;.097894;.090134;.024775;.052008;.024148;.040054;245;267.60408;0;0;0;0;.012245;.093878;.306122;.379592;.195918;.012245;0;0;0;0;0;.0897959;.1102041;.3346939;.3959184;.0693878
3;2019;1898;125.5833;1696.417;.933636;763.3875;339.2833;47.2207;.243124;.0050732;1332875;592388.7;70135.49;355.6298;7.420807;.03812;.012723;.075208;.024169;.165594;.079039;.143489;.146387;.098246;.086751;.025888;.047256;.01793;.0392;210;205.76381;0;0;0;0;.042857;.066667;.347619;.37619;.161905;.004762;0;0;0;0;0;.0714286;.1428571;.4;.3142857;.0714286
4;2015;0;0;1632.583;0;734.6625;326.5167;12.80619;.5347908;.0045745;1282721;570098.1;19176.74;781.414;6.684071;.016691;.004237;.045531;.008626;.095248;.081568;.171252;.144301;.150273;.098157;.0391;.090143;.026645;.028227;103;163.61165;0;0;.009709;0;.048544;.058252;.242718;.262136;.281553;.067961;0;.009709;.019417;0;0;.0873786;.1747573;.3009709;.3786408;.0582524
4;2016;0;0;1635.917;0;736.1625;327.1833;18.97021;.2038689;.0046055;1285340;571262.1;28207.65;301.2182;6.804686;.01574;.008303;.041516;.01029;.100453;.080077;.135296;.146045;.172126;.116958;.041771;.075798;.025164;.030462;116;164.72069;0;0;0;0;.086207;.043103;.336207;.198276;.241379;.068966;0;.025862;0;0;0;.1465517;.1465517;.3275862;.362069;.0172414
4;2017;0;0;1618.917;0;728.5125;323.7833;21.9441;.7162727;.023361;1271983;565325.7;32903.05;1052.236;34.3184;.014619;.006743;.037216;.011427;.116848;.06841;.148402;.134452;.17347;.121377;.031657;.075668;.028054;.031657;135;166.09037;0;0;.007407;.022222;.02963;.044444;.296296;.288889;.2;.103704;.007407;0;0;0;0;.0888889;.1407407;.3333333;.3777778;.0592593
4;2018;0;0;1675.083;0;753.7875;335.0167;29.36783;.8151218;0;1316113;584939.1;45007.61;1231.196;0;.016268;.00398;.036317;.009751;.105268;.068554;.155664;.136262;.147555;.128551;.03955;.083827;.032138;.036317;143;156.3007;0;0;.013986;.048951;.06993;.076923;.307692;.181818;.202797;.06993;.013986;.006993;.006993;0;0;.1188811;.1818182;.3076923;.3496504;.041958
4;2019;1862;174.75;1579;.9069501;710.55;315.8;32.50145;1.000672;0;1240620;551386.8;49800.42;1509.336;0;.020055;.004697;.035202;.012983;.090669;.072989;.163764;.141598;.141598;.124024;.041271;.086078;.033302;.031771;186;161.88925;.005376;0;.005376;.026882;.05914;.096774;.295699;.241935;.16129;.080645;.005376;.021505;0;0;0;.0913979;.1397849;.2903226;.3817204;.0967742
5;2015;0;0;314.8333;0;141.675;62.96667;2.093663;0;0;247364.6;109939.8;3030.947;0;0;.02594;.008999;.023028;.020911;.176019;.045527;.185283;.096347;.144521;.095818;.031498;.083907;.021175;.041027;135;196.67852;0;0;.014815;.051852;.125926;.140741;.222222;.214815;.222222;.007407;0;0;0;0;0;.0962963;.1185185;.3037037;.4074074;.0740741
5;2016;0;0;330.25;0;148.6125;66.05;2.498179;.005034;0;259477.4;115323.3;3622.705;7;0;.038607;.009084;.032046;.012112;.138531;.055766;.206157;.093616;.107494;.112541;.035074;.084532;.016402;.058037;148;269.52568;0;0;.006757;.006757;.101351;.162162;.236486;.243243;.216216;.027027;0;0;0;0;0;.0743243;.1756757;.25;.4256757;.0743243
5;2017;0;0;324.6667;0;146.1;64.93333;2.492902;1.191876;0;255090.6;113373.6;3514.131;1586.229;0;.018737;.014887;.032341;.017967;.175051;.025411;.223306;.101386;.094456;.083162;.035678;.096253;.032341;.049025;133;250.79098;0;0;0;.030075;.06015;.142857;.218045;.203008;.315789;.030075;0;0;0;0;0;.0676692;.1729323;.2781955;.406015;.075188
5;2018;0;0;323.5833;0;145.6125;64.71667;2.673565;.0000346;0;254239.4;112995.3;3945.528;.0498346;0;.03554;.008241;.050992;.012619;.134947;.027041;.221993;.083956;.124388;.130569;.027556;.061035;.022405;.058717;157;277.32357;0;0;0;.019108;.050955;.11465;.267516;.312102;.210191;.019108;0;0;.006369;0;0;.0700637;.1974522;.2484076;.4203822;.0636943
5;2019;581;46.5;403.75;.7158688;181.6875;80.75;3.487208;.0177535;.0015087;317226.4;140989.5;5274.808;26.27402;2.232829;.038184;.001445;.02291;.007224;.110217;.022704;.231166;.149226;.108772;.129825;.023529;.108978;.02064;.025181;143;333.28112;0;0;0;.006993;.055944;.083916;.335664;.258741;.230769;.020979;.006993;0;0;0;0;.0559441;.1818182;.3356643;.3776224;.048951
6;2015;0;0;4279.583;0;1925.813;855.9167;10.71729;.511072;.4346474;3362469;1494431;15542.67;730.5342;621.2917;.032051;.008782;.051777;.031662;.138331;.13025;.145497;.180878;.084997;.066848;.025314;.052926;.020816;.029871;593;329.93019;0;.003373;.001686;.025295;.033727;.104553;.337268;.322091;.104553;.026981;0;.003373;0;0;.037099;.0455312;.079258;.3338954;.4738617;.0674536
6;2016;0;0;4476.75;0;2014.537;895.35;5.981389;.7873742;.1878111;3517383;1563281;8644.327;1143.375;272.7273;.031645;.010368;.053666;.025279;.12712;.124253;.147447;.178924;.100203;.070903;.021035;.051488;.023287;.034381;715;304.08923;0;.004196;0;.00979;.016783;.088112;.344056;.338462;.160839;.025175;.002797;0;0;0;.00979;.0545455;.0937063;.3482518;.420979;.0825175
6;2017;0;0;4610.333;0;2074.65;922.0667;8.540609;1.175114;.1803852;3622339;1609928;12035.35;1710.118;262.5107;.03118;.009399;.048966;.023932;.120074;.11655;.150387;.183501;.108235;.067891;.02742;.056485;.024058;.031921;585;305.70017;0;.001709;0;.005128;.02735;.082051;.323077;.367521;.153846;.035897;0;0;.003419;0;0;.0324786;.0820513;.3076923;.5059829;.0717949
6;2018;0;0;4775;0;2148.75;955;8.518886;2.001196;.308611;3751718;1667430;12262.52;2941.687;453.6473;.032914;.009756;.05007;.024939;.130785;.108517;.138325;.199878;.11377;.068517;.022792;.050175;.022321;.027243;883;376.75832;0;.001133;.002265;.002265;.023783;.073613;.320498;.354473;.175538;.019253;.003398;.011325;.00906;.001133;.002265;.0430351;.0996602;.2876557;.4835787;.0860702
6;2019;5841;226.75;4706.167;.826949;2117.775;941.2333;11.61477;7.996504;.6520551;3697635;1643393;17103.36;12047.71;982.4003;.043135;.009367;.049014;.02502;.130821;.109413;.136558;.200552;.099904;.068917;.025144;.047473;.022984;.031696;982;357.00835;0;0;.001018;.005092;.025458;.070265;.305499;.362525;.203666;.007128;.004073;.008147;.007128;0;0;.0346232;.107943;.2790224;.4857434;.092668
7;2015;0;0;570;0;256.5;114;15.42355;.0028693;0;447849;199044;22204.04;4.166667;0;.008626;.005848;.025;.021199;.090497;.097661;.160234;.208772;.164912;.097807;.023977;.056433;.012865;.02617;114;305.95263;0;0;0;.04386;.026316;.070175;.298246;.412281;.149123;0;0;0;0;0;0;.0614035;.0877193;.4210526;.3421053;.0877193
7;2016;0;0;598.0833;0;269.1375;119.6167;13.17829;.009122;0;469914.1;208850.7;19385.86;12.925;0;.014351;.005852;.027309;.015466;.093632;.089313;.18615;.187962;.172913;.094329;.027031;.045005;.015884;.024801;135;321.25926;.007407;0;0;.02963;.051852;.074074;.303704;.333333;.177778;.022222;0;0;0;0;0;.0518519;.1259259;.3037037;.4222222;.0962963
7;2017;0;0;614.0833;0;276.3375;122.8167;10.4474;.0036484;0;482485.3;214437.9;15548.07;4.83;0;.009906;.003528;.025377;.014385;.099878;.08685;.184286;.170987;.159587;.097164;.027955;.056724;.029312;.034062;172;213.75814;0;0;0;.005814;.02907;.046512;.366279;.377907;.168605;.005814;0;0;0;0;0;.0348837;.1511628;.377907;.3488372;.0872093
7;2018;0;0;656.5833;0;295.4625;131.3167;13.46188;.0012554;0;515877.5;229278.9;19989.76;1.724259;0;.009519;.003935;.027288;.011677;.09354;.077421;.182637;.185557;.183018;.102678;.021196;.056987;.020561;.023988;160;232.85125;0;0;0;0;.0375;.075;.275;.35;.2625;0;0;0;0;0;0;.0125;.1625;.4;.36875;.05625
7;2019;760;97;652.25;.9357963;293.5125;130.45;17.23858;.01007;0;512472.8;227765.7;24643.21;13.58004;0;.007538;.002683;.019931;.010732;.091095;.088156;.170947;.219752;.175163;.090456;.023636;.055577;.024658;.019675;179;244.31955;0;0;0;0;.027933;.055866;.290503;.407821;.21229;0;0;.005587;0;0;0;.027933;.0949721;.3575419;.4469274;.0726257
8;2015;0;0;254;0;114.3;50.8;6.644031;.1743958;0;199567.8;88696.8;9718.786;265.53;0;.009514;.015092;.04101;.026903;.104331;.117454;.2021;.201115;.094816;.099738;.010827;.055774;.011483;.009843;62;403.12903;0;.016129;.016129;.064516;.129032;.064516;.258065;.322581;.080645;.032258;0;.016129;0;0;0;.0967742;.1129032;.2741936;.483871;.0322581
