region_id;annee;nb_places;nb_installations;nb_etc_inf_sad;nb_etc_avq_sad;nb_etc_avd_sad;hrs_inf_sad;hrs_avq_sad;hrs_avd_sad;nb_usagers_tot;nb_usagers_m65_ans;nb_usagers_65_74_ans;nb_usagers_75_84_ans;nb_usagers_85p_ans;nb_usagers_sad;tx_occupation;tx_sad;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
1;2015;5895;150;7.203195;26.86061;.0508111;12425.51;46334.55;87.64917;4579;134;416;1772;2257;1472.833;.77676;.3216496;.118479;.070952;.071857;.172626;.079552;.17489;.070669;.085606;.064615;.026762;.026366;.025235;.008148;.004244
1;2016;5960;145;7.309023;30.47545;.0110246;12608.06;52570.15;19.0175;4636;131;350;1728;2427;1537.083;.7778524;.3315538;.106804;.070751;.072865;.17826;.090323;.160206;.06598;.082245;.083763;.027433;.025047;.022879;.00965;.003795
1;2017;5929;141;7.529256;49.04892;.0021097;12987.97;84609.38;3.639167;4555;120;355;1697;2383;1654.417;.7682577;.3632089;.088803;.056616;.06941;.194933;.071173;.170856;.080189;.099129;.073138;.03123;.026847;.024782;.008361;.004533
1;2018;5822;137;10.37336;66.13011;.0960894;17894.05;114074.4;165.7542;4503;108;357;1705;2333;1982.583;.7734455;.4402806;.095582;.039595;.068681;.185364;.077929;.169392;.083393;.103485;.080282;.035938;.024757;.022866;.010046;.00269
1;2019;6285;133;11.88173;69.77231;4.063584;20495.98;120357.2;7009.682;4715;104;384;1825;2402;2214.25;.7501989;.4696182;.106846;.042076;.070039;.16503;.095819;.157841;.085243;.113244;.075533;.030447;.023898;.024237;.008957;.00079
2;2015;6545;96;7.490529;31.64435;2.072229;12921.16;54586.5;3574.596;5153;168;486;2197;2302;1790.25;.7873186;.347419;.17856;.045711;.062933;.213331;.083089;.167854;.069776;.078993;.050133;.018992;.008937;.016525;.003584;.001583
2;2016;6884;97;9.295608;40.0015;2.715095;16034.92;69002.58;4683.538;5301;142;537;2150;2472;1920.833;.7700465;.362353;.140824;.044902;.063774;.232104;.083557;.170152;.081649;.091887;.045033;.021475;.007245;.013232;.00308;.001085
2;2017;6920;98;9.865619;43.0239;10.95529;17018.19;74216.22;18897.87;5396;142;542;2128;2584;2003.75;.7797688;.3713399;.112913;.036307;.052651;.247162;.095238;.162362;.086879;.095113;.048284;.024454;.010979;.02121;.005698;.000749
2;2018;6807;94;10.67155;50.5202;11.12618;18408.43;87147.34;19192.66;5375;128;522;2079;2646;2186.25;.7896283;.4067442;.13684;.035068;.043415;.224052;.088965;.159558;.091595;.09777;.062359;.029236;.009529;.016619;.00324;.001753
2;2019;6842;94;10.80258;74.00047;16.8547;18634.45;127650.8;29074.35;5371;122;514;2068;2667;2223.583;.7850044;.413998;.134693;.03283;.038339;.196342;.094892;.156579;.098002;.11408;.066522;.02807;.013754;.018926;.006334;.000637
3;2015;16645;158;10.74295;196.6133;4.479287;18531.59;339157.9;7726.769;13250;251;1474;5876;5649;2690.583;.7960349;.2030629;.098616;.024189;.048688;.197572;.072692;.161365;.0739;.13411;.078019;.042308;.025366;.030136;.009137;.003902
3;2016;17227;161;11.31176;224.3909;4.02107;19512.78;387074.3;6936.346;13349;224;1456;5768;5901;2985.083;.7748883;.2236185;.094526;.026912;.044248;.187432;.077552;.161051;.079032;.142933;.078557;.040619;.022892;.030485;.009631;.004132
